2.515116088803517300e+02,2.516757409743059384e+02,2.510059569085419753e+02
5.346402485424466988e+01,4.842512409036959298e+01,4.580049600350930916e+01
1.598905094045559281e+02,1.470756071680350487e+02,1.351919521157824420e+02
9.008848909389011794e+01,8.165055116166645632e+01,6.707424851379140307e+01
8.310312778789487709e+01,1.585020818675535565e+02,2.063692796919926877e+02
1.955730827412536144e+02,1.847197904475771679e+02,1.731880208526390561e+02
1.930094154249985365e+02,4.668101584708004737e+01,4.043840631396324170e+01
2.198304144848312944e+02,1.657651303831164284e+02,6.535114814990129162e+01
1.249518984590435480e+02,1.154723397529305089e+02,9.567616428741021650e+01
2.156486655251639490e+02,2.167848725348379446e+02,2.140181476452879110e+02
1.854639094642323016e+01,1.567073016818659426e+01,1.564179540102443866e+01
3.412911134974302740e+01,9.157801898397416096e+01,1.455694303081159262e+02
