1.964883426421632464e+02,6.163186875586981728e+01,3.548295736131743183e+01
2.521068374084220807e+02,2.522299691319895203e+02,2.513803289553217155e+02
2.990718198480595902e+01,7.224098257237444898e+01,1.311855838319720817e+02
5.946344281529201226e+01,6.124309716443281104e+01,5.060880040989385975e+01
2.175303492124527054e+02,1.777077379858846200e+02,7.843101106035882708e+01
2.198254650185461401e+02,1.978701416576199961e+02,1.838989257650281104e+02
1.502519604114102378e+02,1.539806125986198708e+02,1.508869061637897744e+02
2.551080025404112916e+01,1.729481873173287738e+02,1.958329378480510741e+02
2.287111723161308419e+02,2.894174497124029699e+01,1.345249957231741860e+02
1.915471265861393135e+01,1.488609519152930716e+01,1.362988753781780815e+01
1.084355534113544905e+02,1.136355349790370468e+02,9.465646134075731766e+01
2.241038678435686791e+02,2.254553797790891281e+02,2.265762720611768373e+02
